id,first_name,last_name,gender,street_address,city,states,zip_code,telephone,age,company,latitude,longitude
13,Sashenka,Menlow,Female,37 Monument Pass,Orlando,Florida,32808,321-296-2735,3/24/1947,"Neenah Paper, Inc.",28.5803,-81.4396
14,Lilian,Sellars,Female,0964 Union Parkway,Fresno,California,93750,559-176-2294,6/14/1968,GP Investments Acquisition Corp.,36.7464,-119.6397
15,Hadley,Tallquist,Male,48 Briar Crest Avenue,Irvine,California,92717,714-501-9420,10/18/1995,CMS Energy Corporation,33.6462,-117.8398
16,Winifield,Meachen,Male,3975 Grasskamp Hill,Jacksonville,Florida,32255,904-904-8487,10/2/1959,ProShares UltraPro Short QQQ,30.287,-81.3893
17,Laetitia,Mingardo,Female,3 Texas Way,El Paso,Texas,88574,915-758-6470,12/12/1987,"Cloudera, Inc.",31.6948,-106.3
18,Elisha,Krook,Male,78444 Ramsey Road,Miami,Florida,33175,305-285-3987,4/18/1983,Cato Corporation (The),25.7341,-80.4068
19,Adrienne,D'Ambrosi,Female,972 Green Ridge Lane,Temple,Texas,76505,254-208-4815,1/12/2000,"Community Health Systems, Inc.",31.0363,-97.492
20,Jedd,Smart,Male,00 Oakridge Drive,Atlanta,Georgia,30336,404-322-9742,12/29/1985,Diana Shipping inc.,33.7406,-84.5545
21,Kathye,Annable,Female,207 Montana Court,Stockton,California,95219,209-766-3908,8/6/1997,Viacom Inc.,38.01,-121.3698
22,Alexandro,Stealey,Male,630 Sutherland Circle,Pittsburgh,Pennsylvania,15230,412-334-8372,4/21/1984,Nationstar Mortgage Holdings Inc.,40.4344,-80.0248
23,Harriot,Breslauer,Female,57263 Schlimgen Road,Tucson,Arizona,85725,520-248-5783,9/29/1999,"Audentes Therapeutics, Inc.",31.9701,-111.8907
24,Antoine,Densie,Male,417 Corscot Place,Kansas City,Missouri,64130,816-341-7124,10/25/1970,"P & F Industries, Inc.",39.0351,-94.5467
25,Kareem,McMichael,Male,6407 Crownhardt Place,Arlington,Texas,76096,817-486-0251,2/13/1941,Wright Medical Group N.V.,32.7714,-97.2915
26,Ransell,Jakel,Male,08 Warrior Drive,Salt Lake City,Utah,84140,801-413-4226,8/9/1989,First Trust Enhanced Short Maturity ETF,40.7713,-111.9309
27,Teddie,Escolme,Male,8 Washington Pass,Kansas City,Kansas,66112,816-558-9692,10/18/1965,BRF S.A.,39.116,-94.764
28,Rurik,Vlach,Male,237 Linden Pass,Fort Wayne,Indiana,46852,260-600-6420,9/29/1958,Noble Midstream Partners LP,41.0938,-85.0707
29,Willard,Tommeo,Male,95276 Carey Crossing,Clearwater,Florida,34629,727-114-8492,9/16/1944,Babcock,27.9654,-82.8001
30,Lawrence,Tubritt,Male,93 Jenna Road,Bethlehem,Pennsylvania,18018,267-717-6042,12/17/1961,"Entergy Arkansas, Inc.",40.6278,-75.3928
31,Josie,Middlemist,Female,6504 David Alley,Cincinnati,Ohio,45223,513-855-0693,9/29/1996,"Reven Housing REIT, Inc.",39.1696,-84.5478
32,Gerald,Phizackarley,Male,92 Crowley Plaza,Naples,Florida,34102,941-912-5726,6/25/1969,Robert Half International Inc.,26.134,-81.7953
33,Glad,Wase,Female,50652 Wayridge Road,Charlottesville,Virginia,22903,434-529-8586,8/8/1932,"United Bankshares, Inc.",38.0339,-78.4924
34,Riccardo,Renneke,Male,43294 Mesta Lane,Cleveland,Ohio,44130,440-854-5199,7/9/1993,Cerecor Inc.,41.3826,-81.7964
35,Thorin,Heys,Male,52 Rutledge Pass,Memphis,Tennessee,38161,901-292-9876,10/26/1985,Rexnord Corporation,35.2017,-89.9715
36,Elvis,Bunyard,Male,50 Dixon Junction,Charleston,South Carolina,29403,843-621-5307,12/31/1951,AllianzGI Convertible & Income Fund II,32.7976,-79.9493
37,Ferdinanda,Sacaze,Female,24 Crownhardt Terrace,Lake Worth,Florida,33462,561-894-7970,6/28/1942,"Unifi, Inc.",26.5747,-80.0794
38,Burt,Borthwick,Male,9249 Mitchell Terrace,Tacoma,Washington,98424,253-334-8689,1/26/1993,Brookfield DTLA Inc.,47.2325,-122.3594
39,Rosaleen,Scholcroft,Female,929 Del Mar Junction,Richmond,Virginia,23228,804-956-3238,1/27/1967,"Tortoise MLP Fund, Inc.",37.625,-77.4959
40,Vernice,Varndall,Female,7888 7th Street,Las Vegas,Nevada,89135,702-899-1069,8/26/1946,Encana Corporation,36.1378,-115.3261
41,Carleton,Franies,Male,8 Green Ridge Hill,Shawnee Mission,Kansas,66225,913-112-7099,2/18/1997,IBERIABANK Corporation,38.8999,-94.832
42,Erek,Emerson,Male,6395 Hansons Avenue,Philadelphia,Pennsylvania,19115,215-877-4620,2/10/1933,"QTS Realty Trust, Inc.",40.0903,-75.041
43,Cooper,Erswell,Male,5240 Fuller Trail,Trenton,New Jersey,08619,609-400-1457,1/31/1972,"SolarEdge Technologies, Inc.",40.2418,-74.6962
44,Audrye,Phayre,Female,4467 Hagan Hill,Columbus,Ohio,43210,614-191-7452,9/2/1957,"Children&#39;s Place, Inc. (The)",40.0028,-83.0164
45,Jesse,Tabor,Male,7642 School Crossing,Riverside,California,92505,909-395-4225,8/4/1959,"Goldman Sachs Group, Inc. (The)",33.9228,-117.4867
46,Donni,Gifford,Female,50556 Farragut Avenue,Las Vegas,Nevada,89145,702-489-4000,4/30/1945,"Comstock Resources, Inc.",36.1693,-115.2828
47,Siegfried,Truran,Male,401 Eagan Parkway,Littleton,Colorado,80161,720-804-6194,4/2/1959,"Chart Industries, Inc.",39.7388,-104.4083
48,Findley,Banasik,Male,4404 Melvin Center,Beaufort,South Carolina,29905,843-947-5191,2/27/1982,"Mexico Equity and Income Fund, Inc. (The)",32.3401,-80.689
49,Aland,Burl,Male,08 Valley Edge Junction,Elizabeth,New Jersey,07208,908-891-8901,2/8/1936,vTv Therapeutics Inc.,40.6747,-74.2239
50,Lock,Jillard,Male,0382 Myrtle Point,Bryan,Texas,77806,979-452-8172,7/25/1954,Seaspan Corporation,30.6521,-96.341
51,Maxie,Borland,Female,91 Colorado Parkway,Montpelier,Vermont,05609,802-894-0552,6/15/1948,Genetic Technologies Ltd,44.2595,-72.585
52,Guinevere,Cartin,Female,95945 Maryland Circle,New York City,New York,10203,212-458-2759,12/26/1935,"AeroVironment, Inc.",40.7808,-73.9772
53,Miran,de Grey,Female,77 Harper Junction,Detroit,Michigan,48267,313-541-5432,6/14/1986,Robert Half International Inc.,42.2399,-83.1508
54,Chaim,Clerc,Male,56491 Evergreen Center,Dayton,Ohio,45414,937-393-9547,2/20/1962,"Suburban Propane Partners, L.P.",39.8285,-84.2024
55,Valerie,Durward,Female,29358 Bunting Avenue,North Las Vegas,Nevada,89036,702-106-0666,4/21/1990,Artesian Resources Corporation,35.9279,-114.9721
56,Roi,Godber,Male,1 Melby Terrace,Santa Barbara,California,93106,805-887-4141,6/21/1980,TopBuild Corp.,34.4329,-119.8371
57,Ingrid,Parley,Female,88473 Katie Parkway,Saint Louis,Missouri,63126,636-356-7060,7/23/1955,Histogenics Corporation,38.5495,-90.3811
58,Burtie,Tutt,Male,77756 Continental Junction,Garden Grove,California,92844,310-920-4993,3/22/1951,Quinpario Acquisition Corp. 2,33.7661,-117.9738
59,Donnie,Lindenboim,Female,742 Blue Bill Park Alley,Fort Lauderdale,Florida,33330,954-736-1505,4/7/1949,Weatherford International plc,26.0663,-80.3339
60,Sela,Ruggen,Female,094 Rusk Alley,Tampa,Florida,33620,813-551-4045,10/2/1994,ClearBridge Dividend Strategy ESG ETF,28.06,-82.4079
61,Bartlet,Tock,Male,0 Welch Crossing,Sioux City,Iowa,51105,712-776-2120,6/26/1945,Great Ajax Corp.,42.5032,-96.3829
62,Roobbie,Treamayne,Female,125 Loomis Center,San Antonio,Texas,78225,210-690-9546,8/29/1944,SM Energy Company,29.3875,-98.5245
63,Vaclav,Budden,Male,01 Ilene Junction,El Paso,Texas,88525,915-127-0078,10/21/1986,"ParkerVision, Inc.",31.6948,-106.3
64,Myrtie,Aldridge,Female,603 Hoepker Plaza,Savannah,Georgia,31416,912-243-2184,11/21/1945,Invesco Pennsylvania Value Municipal Income Trust,32.0053,-81.0477
65,Raphaela,Jansen,Female,37106 Messerschmidt Lane,Rochester,New York,14652,585-113-2311,3/3/1934,Global Medical REIT Inc.,43.286,-77.6843
66,Dougie,Tessyman,Male,644 Maryland Trail,Allentown,Pennsylvania,18105,610-109-6548,7/8/1934,CHS Inc,40.6934,-75.4712
67,Llywellyn,Gregolotti,Male,892 International Junction,Lincoln,Nebraska,68524,402-534-3764,11/2/1973,CVR Energy Inc.,40.8529,-96.7943
68,Fara,Bertram,Female,4193 Burrows Plaza,Miami,Florida,33190,786-914-7482,4/22/1974,Ethan Allen Interiors Inc.,25.5593,-80.3483
69,Bruis,Alelsandrovich,Male,5401 Miller Lane,Huntington,West Virginia,25716,304-110-1342,8/14/1940,BLDRS Europe 100 ADR Index Fund,38.4134,-82.2774
70,Oberon,Brumham,Male,12946 Gale Lane,Philadelphia,Pennsylvania,19115,215-360-6473,2/24/2000,"Cullen/Frost Bankers, Inc.",40.0903,-75.041
71,Horatio,Battelle,Male,4 Meadow Ridge Alley,Oklahoma City,Oklahoma,73142,405-494-2020,7/13/1961,WPCS International Incorporated,35.599,-97.6251
72,Gretta,O'Shee,Female,4622 Sachtjen Alley,Minneapolis,Minnesota,55458,612-485-5472,6/21/1980,"PRA Group, Inc.",45.0159,-93.4719
73,Rab,Heeron,Male,5 Donald Lane,Whittier,California,90610,562-325-1831,8/29/1969,Vanguard Russell 2000 ETF,33.7866,-118.2987
74,Giles,Scorton,Male,01 Jenna Drive,Saint Louis,Missouri,63121,314-460-3411,4/17/1970,"American Railcar Industries, Inc.",38.7072,-90.3055
75,Kathe,Chin,Female,2451 Oak Circle,Omaha,Nebraska,68110,402-831-2038,11/18/1956,"First Hawaiian, Inc.",41.2933,-95.9361
76,Cassey,Chalmers,Female,74 Lunder Trail,Stockton,California,95219,209-697-6429,4/20/1976,"Just Energy Group, Inc.",38.01,-121.3698
77,Sheba,Filimore,Female,0470 Mayer Park,Kansas City,Missouri,64114,816-466-5742,9/12/1944,"Duff & Phelps Utilities Income, Inc.",38.9621,-94.5959
78,Alysa,Paal,Female,538 Coleman Parkway,Worcester,Massachusetts,01654,508-625-3023,2/10/1948,"AmTrust Financial Services, Inc.",42.3648,-71.8969
79,Janeva,Camsey,Female,8089 Rockefeller Place,Saint Petersburg,Florida,33731,727-990-0873,1/9/1961,"Mitek Systems, Inc.",27.8918,-82.7248
80,Rubi,Bollard,Female,5947 Lotheville Junction,Rochester,New York,14652,585-444-7919,3/16/1979,Bank Mutual Corporation,43.286,-77.6843
81,Merrill,Revie,Female,514 Morrow Terrace,Austin,Texas,78721,512-232-2409,1/18/1941,"Commerce Bancshares, Inc.",30.2721,-97.6868
82,Amby,Seldner,Male,26 Meadow Valley Place,Aurora,Colorado,80044,303-768-3404,3/9/1982,"SiteOne Landscape Supply, Inc.",39.7388,-104.4083
83,Vivyan,Pechold,Female,5398 Esch Alley,Columbia,South Carolina,29203,803-243-6350,9/19/1976,Assured Guaranty Ltd.,34.0635,-81.0265
84,Marys,Bulter,Female,6370 Harper Parkway,Rochester,New York,14624,585-716-3675,10/12/1958,"ShotSpotter, Inc.",43.1216,-77.7311
85,Alikee,Willock,Female,21349 Badeau Junction,Erie,Pennsylvania,16565,814-242-2084,1/2/1999,Costamare Inc.,42.1827,-80.0649
86,Alexandre,Mower,Male,6 Fairview Circle,Philadelphia,Pennsylvania,19136,215-759-5635,10/24/1978,Community Bankers Trust Corporation.,40.0422,-75.0244
87,Roxana,Eate,Female,05990 Clove Center,Columbus,Ohio,43268,614-537-7631,9/14/1961,"Varonis Systems, Inc.",39.969,-83.0114
88,Robinette,Weighell,Female,88 Porter Hill,Northridge,California,91328,818-155-8374,9/9/1955,"Alexander & Baldwin Holdings, Inc.",33.7866,-118.2987
89,Lyndsay,Dast,Female,83846 2nd Pass,Syracuse,New York,13251,315-528-9639,11/5/1968,Concho Resources Inc.,43.0214,-76.1977
90,Ian,Pedro,Male,1 Clarendon Parkway,Oakland,California,94616,415-630-1747,2/15/1963,Umpqua Holdings Corporation,37.8044,-122.2698
91,Brad,Matskiv,Male,318 Towne Avenue,New York City,New York,10110,212-591-0302,9/7/1975,CPS Technologies Corp.,40.754,-73.9808
92,Terry,Farrier,Male,50273 Kinsman Lane,Fredericksburg,Virginia,22405,540-151-6793,12/7/1947,Chesapeake Lodging Trust,38.3365,-77.4366
93,Bernhard,Marchent,Male,6 Stoughton Circle,Philadelphia,Pennsylvania,19191,215-343-7246,3/17/1995,CounterPath Corporation,40.0018,-75.1179
94,Happy,Flarity,Female,165 Crownhardt Street,Huntington,West Virginia,25711,304-517-8137,12/15/1992,James Hardie Industries plc.,38.4134,-82.2774
95,Perri,Leeds,Female,93978 Oak Road,Lexington,Kentucky,40524,859-639-0593,7/26/1943,Public Storage,38.0283,-84.4715
96,Honoria,Dowbakin,Female,7428 6th Terrace,Vancouver,Washington,98682,360-282-2328,9/19/1976,"Methode Electronics, Inc.",45.6644,-122.5212
97,Ugo,Kiraly,Male,19 Muir Crossing,Saint Louis,Missouri,63150,314-426-8259,12/17/1945,Eaton Vance Municipal Income 2028 Term Trust,38.6531,-90.2435
98,Herold,Stanner,Male,42 Boyd Street,Atlanta,Georgia,30336,404-432-9733,11/30/1959,American Outdoor Brands Corporation,33.7406,-84.5545
99,Waylen,Wingar,Male,0 Bluestem Park,Atlanta,Georgia,30380,404-898-9958,3/8/1996,"NanoString Technologies, Inc.",33.8444,-84.474
100,Eba,Linggood,Female,357 Lakewood Gardens Point,Spokane,Washington,99220,509-521-0301,10/15/1991,Eagle Point Credit Company Inc.,47.6536,-117.4317
101,Maxy,Nuscha,Male,753 Swallow Drive,Portland,Oregon,97206,503-720-9341,8/10/1971,"Mobile Mini, Inc.",45.484,-122.5973
102,Rafa,Raoux,Female,570 Caliangt Avenue,Ashburn,Virginia,22093,571-139-8573,10/17/1969,Wells Fargo & Company,39.0853,-77.6452
103,Fina,Witherop,Female,786 John Wall Court,Miami,Florida,33169,954-189-9091,12/28/1984,Andina Acquisition Corp. II,25.9441,-80.2144
104,Dominique,Mebs,Male,82 Swallow Crossing,Cleveland,Ohio,44177,216-217-6277,7/9/1940,Covisint Corporation,41.6857,-81.6728
105,Warren,Roofe,Male,6634 Riverside Junction,Albany,New York,12232,518-196-4854,5/2/1934,PennantPark Investment Corporation,42.6149,-73.9708
106,Katee,Strutton,Female,9 Jenna Park,Kansas City,Missouri,64101,816-491-6315,4/8/1994,Citigroup Inc.,39.1024,-94.5986
107,Lexine,Klimowski,Female,942 Raven Crossing,Fayetteville,North Carolina,28314,910-149-1902,6/1/1989,Sanmina Corporation,35.0583,-79.008
108,Saloma,Staveley,Female,4203 Macpherson Hill,Sunnyvale,California,94089,650-409-6011,10/15/1982,"ASV Holdings, Inc.",37.3983,-122.0006
109,Ximenez,Bootland,Male,3 Declaration Plaza,Fort Worth,Texas,76198,682-105-2122,9/16/1986,"SAExploration Holdings, Inc.",32.7714,-97.2915
110,Dillie,Martelet,Male,79 Sugar Lane,Salt Lake City,Utah,84140,801-398-4846,1/1/1950,Ryerson Holding Corporation,40.7713,-111.9309
111,Biddy,Sendall,Female,36948 Wayridge Street,Portland,Oregon,97286,503-171-3601,12/23/1955,Qiagen N.V.,45.5806,-122.3748
112,Ansell,Gilding,Male,74061 Hintze Park,Macon,Georgia,31210,478-397-2589,6/20/1970,"CYS Investments, Inc.",32.8926,-83.7455
113,Lemuel,Lapworth,Male,0 Cambridge Center,Syracuse,New York,13210,315-433-4431,9/11/1951,LCNB Corporation,43.0354,-76.1282
114,Shina,Linden,Female,95306 Sugar Circle,Van Nuys,California,91411,818-259-5755,7/27/1975,"root9B Holdings, Inc. ",34.1781,-118.4574
115,Shandeigh,Boardman,Female,178 Lukken Place,Youngstown,Ohio,44511,330-494-7308,6/6/1931,"Telenav, Inc.",41.0704,-80.6931
116,Adore,Vanes,Female,282 Moulton Crossing,Des Moines,Iowa,50362,515-940-1538,3/12/1998,"Investment Technology Group, Inc.",41.6727,-93.5722
117,Karly,Vaadeland,Female,1106 Park Meadow Pass,Pompano Beach,Florida,33064,305-125-8376,5/16/1953,"Moneygram International, Inc.",26.2785,-80.1157
118,Bobbee,Robardet,Female,997 Sundown Way,Topeka,Kansas,66611,785-518-9411,7/28/1964,Costamare Inc.,39.0142,-95.6982
119,Manya,Hagart,Female,39870 Waywood Park,Memphis,Tennessee,38188,901-143-9887,10/31/1997,"Four Corners Property Trust, Inc.",35.2017,-89.9715
120,Culley,Springall,Male,4 Mcguire Hill,Knoxville,Tennessee,37939,865-696-5790,4/21/1945,Paragon Commercial Corporation,35.9901,-83.9622
121,Claudia,Bisatt,Female,8 Pawling Terrace,Cincinnati,Ohio,45999,513-978-6914,10/17/1940,"Pernix Therapeutics Holdings, Inc.",39.1668,-84.5382
122,Sophie,Craw,Female,39098 Magdeline Center,El Paso,Texas,88546,915-557-0100,4/23/1938,"SORL Auto Parts, Inc.",31.6948,-106.3
123,Bord,Jump,Male,439 Duke Pass,Denver,Colorado,80279,303-771-0040,3/20/1953,Nuveen Municipal High Income Opportunity Fund,39.7388,-104.4083
124,Gavan,Cinelli,Male,86753 Michigan Alley,Philadelphia,Pennsylvania,19093,215-456-1871,5/12/1953,Amgen Inc.,40.0018,-75.1179
125,Bunny,Selly,Female,3 Carberry Court,Philadelphia,Pennsylvania,19141,215-818-9681,10/8/1947,Fluidigm Corporation,40.0365,-75.1451
126,Alwin,Sandercock,Male,4416 Melby Center,Buffalo,New York,14276,716-478-2091,6/1/1968,Nuveen Municipal High Income Opportunity Fund,42.7684,-78.8871
127,Banky,Finessy,Male,985 Mosinee Avenue,Columbia,South Carolina,29215,803-223-7249,8/1/1954,RiceBran Technologies,34.006,-80.9708
128,Herbert,Kunert,Male,4 1st Pass,Dallas,Texas,75323,214-418-5573,11/14/1990,Williams Partners LP,32.7673,-96.7776
129,Elise,Jodrelle,Female,67115 Forest Circle,Asheville,North Carolina,28815,828-651-1953,8/15/1978,Hallador Energy Company,35.6203,-82.5286
130,Nikkie,Lamplough,Female,09170 John Wall Way,San Francisco,California,94126,415-560-1263,11/18/1995,"Sabra Healthcare REIT, Inc.",37.7848,-122.7278
131,Ritchie,Kaubisch,Male,0 Knutson Pass,Memphis,Tennessee,38150,901-919-9801,2/18/1931,RH,35.2017,-89.9715
132,Helen-elizabeth,Menere,Female,63054 Anthes Center,Tulsa,Oklahoma,74133,918-321-2286,5/27/1970,Alamos Gold Inc.,36.0467,-95.8841
133,Agnola,Finlater,Female,0 Oriole Street,Kansas City,Missouri,64144,816-933-5131,2/13/1942,Bank of America Corporation,39.2829,-94.409
134,Anderea,Quipp,Female,02 Farmco Road,Madison,Wisconsin,53790,608-163-3098,10/17/1937,Lions Gate Entertainment Corporation,43.0696,-89.4239
135,Cassandre,Quantrill,Female,5 Morningstar Place,Kansas City,Missouri,64130,816-464-5094,11/23/1971,Macquarie Global Infrastructure Total Return Fund Inc.,39.0351,-94.5467
136,Kittie,Raffels,Female,5 Badeau Junction,Tampa,Florida,33661,813-490-8968,4/24/1936,SPDR Dorsey Wright Fixed Income Allocation ETF,27.872,-82.4388
137,Chloris,Rosenberg,Female,037 Prentice Court,Memphis,Tennessee,38197,901-156-7306,10/24/1943,CHS Inc,35.2017,-89.9715
138,Felic,Mattheis,Male,5 Prairie Rose Lane,Bridgeport,Connecticut,06606,203-609-4617,5/26/1975,"Malibu Boats, Inc.",41.2091,-73.2086
139,Gaile,Crompton,Male,8 Corry Lane,Pittsburgh,Pennsylvania,15205,724-636-7785,1/31/1966,"Ventas Realty, Limited Partnership // Ventas Capital Corporati",40.4322,-80.1021
140,Wilt,Travis,Male,1 Sycamore Road,Houston,Texas,77055,713-544-8927,8/29/1982,Cambrex Corporation,29.7971,-95.4958
141,Friedrich,Sealy,Male,44386 Gale Street,Hayward,California,94544,209-456-2608,7/21/1965,Oxbridge Re Holdings Limited,37.6374,-122.067
142,Teddy,Brook,Male,106 Raven Park,Shreveport,Louisiana,71151,318-915-2434,2/27/1952,"SeaChange International, Inc.",32.6076,-93.7526
143,Sindee,Winpenny,Female,867 Eliot Plaza,Rockville,Maryland,20851,301-512-5158,3/23/1959,"ConnectOne Bancorp, Inc.",39.0763,-77.1234
144,Catharina,Cleghorn,Female,53488 Del Sol Point,Glendale,California,91205,323-943-0024,11/9/1982,"Sigma Designs, Inc.",34.1378,-118.2424
145,Taryn,Vowles,Female,388 Glendale Place,Athens,Georgia,30605,706-546-2597,3/11/1992,Protective Life Corporation,33.9321,-83.3525
146,Vivienne,Point,Female,04 Roxbury Trail,Lansing,Michigan,48919,517-638-5935,5/9/1973,"Teligent, Inc.",42.7286,-84.5517
147,Jilly,Bastie,Female,6 Scofield Center,Philadelphia,Pennsylvania,19196,215-158-7102,8/16/1936,"NexPoint Residential Trust, Inc.",40.0018,-75.1179
148,Jarvis,Morant,Male,9318 Meadow Valley Place,Killeen,Texas,76544,254-897-7661,1/20/1933,Cytosorbents Corporation,31.1282,-97.7469
149,Yankee,Martensen,Male,721 Ryan Way,Newark,Delaware,19725,302-299-3760,10/19/1973,"Eaton Corporation, PLC",39.5645,-75.597
150,Lyell,Pontain,Male,090 Farragut Way,Fargo,North Dakota,58122,701-828-8044,8/29/1974,"MobileIron, Inc.",46.9346,-97.2297
151,Winston,Checcucci,Male,56 Sunfield Place,Flushing,New York,11388,917-445-9804,12/11/1934,"Estee Lauder Companies, Inc. (The)",40.6514,-73.8708
152,Lewie,Rough,Male,30 Waxwing Place,Bradenton,Florida,34282,941-303-9760,10/13/1994,"Nathan&#39;s Famous, Inc.",27.4272,-82.4387
153,Mindy,Garrad,Female,32448 Manufacturers Drive,Memphis,Tennessee,38150,901-578-0749,10/16/1931,Calpine Corporation,35.2017,-89.9715
154,Uta,McHardy,Female,0426 Toban Park,Miami,Florida,33175,305-845-7299,4/28/1961,PartnerRe Ltd.,25.7341,-80.4068
155,Brenna,Steljes,Female,697 Roth Hill,Washington,District of Columbia,20016,202-405-8140,12/26/1983,Globus Maritime Limited,38.9381,-77.086
156,Pietro,Dalmon,Male,7733 Oakridge Hill,Toledo,Ohio,43610,419-578-2440,8/16/1966,"TrueBlue, Inc.",41.6767,-83.5573
157,Lizbeth,Camm,Female,11795 Eastwood Terrace,Denver,Colorado,80291,303-379-9102,10/20/1975,"Gartner, Inc.",39.7439,-104.9876
158,Dorian,Piolli,Female,84095 Holy Cross Park,Paterson,New Jersey,07505,973-841-9775,7/20/1971,ChinaCache International Holdings Ltd.,40.9166,-74.174
159,Kennie,Sheach,Male,38634 Ryan Park,Las Vegas,Nevada,89120,702-661-3278,9/24/1955,"Five Prime Therapeutics, Inc.",36.0914,-115.0885
160,Roderic,Oleksinski,Male,58 Delaware Plaza,Montgomery,Alabama,36125,334-724-2013,10/12/1943,Vornado Realty Trust,32.2334,-86.2085
161,Fielding,Rampton,Male,085 Grover Place,Knoxville,Tennessee,37914,865-283-4583,4/19/1938,MDC Partners Inc.,35.9918,-83.8496
162,Bendicty,Teager,Male,6378 Lotheville Place,Philadelphia,Pennsylvania,19196,215-237-7126,4/1/1977,Signature Bank,40.0018,-75.1179
163,Tarra,Carnaman,Female,73 Russell Way,Tacoma,Washington,98447,253-301-6209,5/16/1933,"CDK Global, Inc.",47.1441,-122.4434
164,Vonnie,Mengue,Female,22 Chive Terrace,Corona,California,92883,951-229-7012,5/24/2000,Qwest Corporation,33.7541,-117.474
165,Lowell,Leggott,Male,7 Sherman Alley,Boston,Massachusetts,02216,617-778-4070,6/13/1981,OCI Partners LP,42.3389,-70.9196
166,Hans,MacKellen,Male,08 Ryan Center,Greeley,Colorado,80638,970-129-1566,7/22/1991,"PIMCO Strategic Income Fund, Inc.",40.5009,-104.315
167,Hattie,Philipard,Female,8 Darwin Lane,Tulsa,Oklahoma,74108,918-495-2492,2/28/1995,Check-Cap Ltd.,36.1499,-95.7923
168,Gabriella,Hugh,Female,614 Lakeland Junction,Young America,Minnesota,55573,952-956-2935,9/25/1987,"Mondelez International, Inc.",45.0159,-93.4719
169,Karlik,Dowsing,Male,9239 Eliot Alley,Simi Valley,California,93094,805-644-5390,7/4/1965,"BSB Bancorp, Inc.",34.0324,-119.1343
170,Lianna,Glabach,Female,61 Vernon Court,Houston,Texas,77234,713-953-5393,2/17/1956,VCA Inc. ,29.834,-95.4342
171,Lutero,Vautier,Male,47 Fremont Circle,Worcester,Massachusetts,01605,508-669-2495,1/5/1988,Lincoln National Corporation,42.2894,-71.7888
172,Nelie,Bischop,Female,82 2nd Hill,Hattiesburg,Mississippi,39404,601-792-5566,5/14/1948,"ATN International, Inc.",31.1721,-89.2948
173,Nicolette,Suggey,Female,96 Golden Leaf Point,Saint Paul,Minnesota,55166,651-117-4227,5/6/1953,First Trust Nasdaq Transportation ETF,45.0059,-93.1059
174,Helli,Beecraft,Female,1 Bartelt Way,Columbus,Georgia,31914,706-785-4116,4/29/1933,"Century Casinos, Inc.",32.491,-84.8741
175,Ginger,Conlon,Female,8 Columbus Drive,Baton Rouge,Louisiana,70810,225-300-1768,2/9/1935,Euronav NV,30.3633,-91.0919
176,Darlleen,Glennard,Female,449 Bunker Hill Terrace,Saint Petersburg,Florida,33742,727-978-2286,3/18/1941,"Summit Materials, Inc.",27.8918,-82.7248
177,Pall,Wark,Male,53961 Arizona Hill,Hyattsville,Maryland,20784,301-541-6432,2/8/1960,"Blackrock MuniHoldings Quality Fund, Inc.",38.9513,-76.8958
178,Ben,Raubenheimers,Male,496 Nova Parkway,Baltimore,Maryland,21203,443-166-4867,12/13/1965,iShares Core MSCI Total International Stock ETF,39.2847,-76.6205
